LineId,Index,Date,Time,TimeStamp,Count,Ecuid,Apid,Ctid,Sessionid,Type,Subtype,Mode,Args,Content,EventId,EventTemplate,ParameterList
1,0,2024-10-16 08:00:20.594490,08:00:20.594490,660.1237,250,CCU0,WCC,CTX1,4096,log,error,verbose,1,"RT1_OuterSignalChange(HEX):61,01,00,62,01,00,64,01,00,10,01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,",1,"RT1_OuterSignalChange(HEX):<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,","['61', '01', '00', '62', '01', '00', '64', '01', '00', '10', '01', '00', '00', '00', '00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00', '0']"
2,1,2024-10-16 08:00:21.392452,08:00:21.392452,660.9233,1,CCU0,WCC,CTX1,4096,log,error,verbose,1,"RT1_OuterSignalChange(HEX):61,01,00,62,01,00,64,01,00,10,01,00,82,01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,",1,"RT1_OuterSignalChange(HEX):<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,","['61', '01', '00', '62', '01', '00', '64', '01', '00', '10', '01', '00', '82', '01', '00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00', '0']"
